country,artist_count,country_name,latitude,longitude
Argentina,1757,Argentina,-34.9964963,-64.9672817
Australia,1558,Australia,-24.7761086,134.755
Austria,3038,Austria,47.59397,14.12456
Belgium,2554,Belgium,50.6402809,4.6667145
Bolivia,1553,Bolivia,-17.0568696,-64.9912286
Brazil,1764,Brazil,-10.3333333,-53.2
Bulgaria,1033,Bulgaria,42.6073975,25.4856617
Canada,1928,Canada,61.0666922,-107.991707
Chile,2009,Chile,-31.7613365,-71.3187697
Colombia,1763,Colombia,4.099917,-72.9088133
Costa Rica,1506,Costa Rica,10.2735633,-84.0739102
Czech Republic,2367,Czech Republic,49.7439047,15.3381061
Denmark,2069,Denmark,55.670249,10.3333283
Dominican Republic,1997,Dominican Republic,19.0974031,-70.3028026
Ecuador,1585,Ecuador,-1.3397668,-79.3666965
Egypt,559,Egypt,26.2540493,29.2675469
El Salvador,1268,El Salvador,13.8000382,-88.9140683
Estonia,1290,Estonia,58.7523778,25.3319078
Finland,2666,Finland,63.2467777,25.9209164
France,2364,France,46.603354,1.8883335
Germany,3246,Germany,51.1638175,10.4478313
Global,2223,Global,55.702215,12.5592485
Greece,1950,Greece,38.9953683,21.9877132
Guatemala,1572,Guatemala,15.5855545,-90.345759
Honduras,1344,Honduras,15.2572432,-86.0755145
Hong Kong,1895,Hong Kong,22.350627,114.1849161
Hungary,2322,Hungary,47.1817585,19.5060937
Iceland,1617,Iceland,64.9841821,-18.1059013
India,1273,India,22.3511148,78.6677428
Indonesia,1375,Indonesia,-2.4833826,117.8902853
Ireland,2022,Ireland,52.865196,-7.9794599
Israel,1349,Israel,30.8124247,34.8594762
Italy,1895,Italy,42.6384261,12.674297
Japan,1452,Japan,36.5748441,139.2394179
Latvia,1633,Latvia,56.8406494,24.7537645
Lithuania,1753,Lithuania,55.3500003,23.7499997
Luxembourg,684,Luxembourg,49.8158683,6.1296751
Malaysia,1650,Malaysia,4.5693754,102.2656823
Mexico,1490,Mexico,23.6585116,-102.0077097
Morocco,990,Morocco,28.3347722,-10.3713379
Netherlands,3462,Netherlands,52.2434979,5.6343227
New Zealand,1335,New Zealand,-41.5000831,172.8344077
Nicaragua,836,Nicaragua,12.6090157,-85.2936911
Norway,3043,Norway,61.1529386,8.7876653
Panama,1760,Panama,8.559559,-81.1308434
Paraguay,1583,Paraguay,-23.3165935,-58.1693445
Peru,1551,Peru,-6.8699697,-75.0458515
Philippines,1209,Philippines,12.7503486,122.7312101
Poland,2528,Poland,52.215933,19.134422
Portugal,1889,Portugal,39.6621648,-8.1353519
Romania,1689,Romania,45.9852129,24.6859225
Russia,1042,Russia,64.6863136,97.7453061
Saudi Arabia,1167,Saudi Arabia,25.6242618,42.3528328
Singapore,1487,Singapore,1.357107,103.8194992
Slovakia,1992,Slovakia,48.7411522,19.4528646
South Africa,1833,South Africa,-28.8166236,24.991639
South Korea,531,South Korea,36.638392,127.6961188
Spain,2420,Spain,39.3260685,-4.8379791
Sweden,3154,Sweden,59.6749712,14.5208584
Switzerland,3328,Switzerland,46.7985624,8.2319736
Taiwan,3018,Taiwan,23.9739374,120.9820179
Thailand,1670,Thailand,14.8971921,100.83273
Turkey,1652,Turkey,39.294076,35.2316631
Ukraine,1010,Ukraine,49.4871968,31.2718321
United Arab Emirates,864,United Arab Emirates,24.0002488,53.9994829
United Kingdom,2449,United Kingdom,54.7023545,-3.2765753
United States,2069,United States,39.7837304,-100.445882
Uruguay,1948,Uruguay,-32.8755548,-56.0201525
Vietnam,1229,Vietnam,15.9266657,107.9650855
