region,entropy_score,total_tracks,unique_languages
United States,0.9852864840381771,3378,6
Canada,0.9342433030171798,2829,6
Global,0.7939461700473115,2492,5
El Salvador,0.7457273394524121,1488,3
Peru,0.7451467748962732,1392,2
Nicaragua,0.7415994187135333,1242,3
United Arab Emirates,0.7393911014856418,2352,4
Mexico,0.7300999461196301,1474,3
Costa Rica,0.7247307267316744,1504,3
Colombia,0.7196616479516021,1346,3
Chile,0.7186232121471091,1309,3
Panama,0.7073069765334923,1526,3
Dominican Republic,0.7065095976365583,1380,3
Ecuador,0.6967892757900267,1374,2
Bulgaria,0.6938119835138402,1645,4
Honduras,0.6932359366507047,1650,3
Bolivia,0.6931900924786225,1580,2
Paraguay,0.6860392033069458,914,3
Argentina,0.6853523335584552,1202,3
Guatemala,0.6852405673251708,1279,3
Uruguay,0.6753550411811159,1140,3
Portugal,0.672871282620799,1929,5
Indonesia,0.6693460380790843,1242,3
Lithuania,0.6607482183175419,2036,5
Romania,0.6496956004943533,1998,4
Saudi Arabia,0.6135395179096987,1829,4
Philippines,0.6072796713551134,1629,3
Latvia,0.589770202249978,1850,5
Australia,0.5693682803417395,2143,5
Estonia,0.5571943235813086,1674,4
South Korea,0.5510446968982203,979,2
Malaysia,0.5436695066908849,2021,3
New Zealand,0.5259938882007368,1726,4
Brazil,0.5208072610673117,1135,3
South Africa,0.518969396860159,1830,4
Slovakia,0.5103793489335368,1874,4
Taiwan,0.5016444502329297,1035,3
Ireland,0.4977538086080969,1869,4
Turkey,0.46460362980358877,1014,2
United Kingdom,0.4531017344338646,1845,5
India,0.44785456780326777,1242,3
Vietnam,0.4469103382052404,1315,3
Egypt,0.4460452941169192,1390,3
Greece,0.4371998335408771,1421,5
Ukraine,0.43703730213080644,954,3
Hong Kong,0.4276783923976502,1511,3
Spain,0.42743356201250093,1322,3
Singapore,0.4224888294469704,2065,3
Morocco,0.4023766039045766,1240,3
Israel,0.3917864826605649,1608,3
Hungary,0.37832044518275193,1768,5
Thailand,0.3766885436720282,1429,3
Switzerland,0.3719254619480199,1707,3
Russia,0.34739702829427227,843,4
Belgium,0.34186968044791005,1700,4
Iceland,0.3253632576882828,1593,4
Luxembourg,0.3204682874115842,103,2
Finland,0.31782066251395397,1738,4
Netherlands,0.31716787210416225,1594,4
Denmark,0.30491321949303446,1615,3
Norway,0.3002172908372639,1776,3
Italy,0.28730008493004555,1175,2
France,0.2872164550638234,1295,2
Sweden,0.27931834761355506,1417,3
Poland,0.2699925854700775,1531,3
Austria,0.2666707257906022,1740,3
Germany,0.24864617622442728,1537,3
Czech Republic,0.23316332817865631,1672,3
Japan,0.113621093813909,526,2
