track_id,name,artist_id,artist_name,release_date,genre
0zirWZTcXBBwGsevrsIpvT,Clean Baby Sleep White Noise (Loopable),6Cqtx9fpxzggIMuKn0RGCp,Dream Supplier,2020-04-29,
2RdEC8Ff83WkX7kDVCHseE,party 4 u,25uiPmTg16RbhZWAqwLBy5,Charli xcx,2020-05-15,
2UikqkwBv7aIvlixeVXHWt,You Should Probably Leave,4YLtscXsxbVgi031ovDDdh,Chris Stapleton,2020-11-13,
56oGoEjA9eTZYgsttEFKY3,The Thrill,137W8MRPWKqSmrBGDBFSop,Wiz Khalifa,2020-11-11,
3USxtqRwSYz57Ewm6wWRMp,Heat Waves,4yvcSjfu4PC0CYQyLy4wSq,Glass Animals,2020-08-07,
3hxIUxnT27p5WcmjGUXNwx,Shut up My Moms Calling,35WVTyRnKAoaGExqgktVyb,Hotel Ugly,2020-02-10,
0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,2020-03-20,
7fEoXCZTZFosUFvFQg1BmW,Took Her To The O,6QtgPSJPSzcnn7dPZ4VINp,King Von,2020-03-06,
3K07bGe8iljQ3mOKArHLDo,Starting Over,4YLtscXsxbVgi031ovDDdh,Chris Stapleton,2020-11-13,
0f8eRy9A0n6zXpKSHSCAEp,Infrunami,57vWImR43h4CaDao012Ofp,Steve Lacy,2020-12-04,
6tDDoYIxWvMLTdKpjFkc1B,telepatía,1U1el3k54VvEUzo3ybLPlM,Kali Uchis,2020-12-04,
5hM5arv9KDbCHS0k9uqwjr,Borderline,5INjqkS1o8h1imAzPqGZBb,Tame Impala,2020-02-14,
3jHdKaLCkuNEkWcLVmQPCX,BEST INTEREST,4V8LLVI7PbaPR0K2TGSxFF,"Tyler, The Creator",2020-01-25,
4nyF5lmSziBAt7ESAUjpbx,"I miss you, I’m sorry",4tuJ0bMpJh08umKkEXKUI5,Gracie Abrams,2020-07-14,
2297mxrYLBAC4XkhXs39If,Armed & Dangerous,6QtgPSJPSzcnn7dPZ4VINp,King Von,2020-10-30,
3hUxzQpSfdDqwM3ZTFQY0K,august,06HL4z0CvFAxyc27GXpf02,Taylor Swift,2020-07-24,
3FU6urUVsgXa6RBuV2PdRk,Heartless (feat. Morgan Wallen),5fMUXHkw8R8eOP2RNVYEZX,Diplo,2020-05-29,
7wTqEW5nrMhvyEhEyTnOMd,The Cut That Always Bleeds,4Uc8Dsxct0oMqx0P6i60ea,Conan Gray,2020-03-20,
2QfX9Pdz3q66fN3kCXl0Js,Revival,40ZNYROS4zLfyyBSs2PGe2,Zach Bryan,2020-05-08,
4PwWESSlTwzvw9B7bmtTLS,anything,4aKWmkWAKviFlyvHYPTNQY,Adrianne Lenker,2020-10-23,
4xqrdfXkTW4T0RauPLv3WA,Heather,4Uc8Dsxct0oMqx0P6i60ea,Conan Gray,2020-03-20,
5ruzrDWcT0vuJIOMW7gMnW,The Adults Are Talking,0epOFNiUfyON9EYx7Tpr6V,The Strokes,2020-04-10,
5QO79kh1waicV47BqGRL3g,Save Your Tears,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,2020-03-20,
29TPjc8wxfz4XMn21O7VsZ,Sky,699OTQXzgjhIYAHMy9RyPD,Playboi Carti,2020-12-25,
30QR0ndUdiiMQMA9g1PGCm,"...And to Those I Love, Thanks for Sticking Around",1VPmR4DJC1PlOtd0IADAO0,$uicideboy$,2020-02-14,
